	date	title	link
948	2012-06-18	На орбиту отправится первая в Китае женщина-космонавт Лю Ян	file:///news/2012-06-16/94746-na_orbitu_otpravitsya_pervaya_v_kitae_zhenschina_kosmonavt_lyu_yan
949	2012-06-16	На Международном кинофестивале имени Андрея Тарковского вручили награды	file:///news/2012-06-04/93939-na_mezhdunarodnom_kinofestivale_imeni_andreya_tarkovskogo_vruchili_nagrady
950	2012-06-04	Российские байкеры, освобожденные из иракской тюрьмы, вернулись на родину	file:///news/2012-05-29/93546-rossiyskie_baykery_osvobozhdennye_iz_irakskoy_tyurmy_vernulis_na_rodinu
951	2012-05-29	В Каспийске открыли монумент героям-пограничникам	file:///news/2012-05-28/93461-v_kaspiyske_otkryli_monument_geroyam_pogranichnikam
952	2012-05-28	Российские байкеры, задержанные в Ираке, вылетят домой сразу после оформления документов	file:///news/2012-05-26/93375-rossiyskie_baykery_zaderzhannye_v_irake_vyletyat_domoy_srazu_posle_oformleniya_dokumentov
953	2012-05-26	В Шотландии к противостоянию готовятся сторонники и противники независимости страны	file:///news/2012-05-26/93369-v_shotlandii_k_protivostoyaniyu_gotovyatsya_storonniki_i_protivniki_nezavisimosti_strany
954	2012-05-26	Шотландия начала официальную кампанию по борьбе за свою независимость	file:///news/2012-05-26/93356-shotlandiya_nachala_ofitsialnuyu_kampaniyu_po_borbe_za_svoyu_nezavisimost
955	2012-05-26	Российские байкеры, которых освободили из-под ареста в Ираке, отправятся на родину 26 мая	file:///news/2012-05-25/93337-rossiyskie_baykery_kotoryh_osvobodili_iz_pod_aresta_v_irake_otpravyatsya_na_rodinu_26_maya
956	2012-05-25	Русская классическая музыка переживает бум популярности в Китае	file:///news/2012-05-25/93316-russkaya_klassicheskaya_muzyka_perezhivaet_bum_populyarnosti_v_kitae
957	2012-05-25	Концерты российских музыкантов проходят в Китае при аншлагах	file:///news/2012-05-25/93282-kontserty_rossiyskih_muzykantov_prohodyat_v_kitae_pri_anshlagah
958	2012-05-25	Путешествие российских байкеров по Ближнему Востоку прервалось в районе Багдада	file:///news/2012-05-24/93208-puteshestvie_rossiyskih_baykerov_po_blizhnemu_vostoku_prervalos_v_rayone_bagdada
959	2012-05-24	10 мая будет зажжен огонь 30-й Летней Олимпиады	file:///news/2012-05-10/91773-10_maya_budet_zazhzhen_ogon_30_y_letney_olimpiady
960	2012-05-10	В Москве проходит финал турнира Российской любительской хоккейной лиги	file:///news/2012-05-08/91707-v_moskve_prohodit_final_turnira_rossiyskoy_lyubitelskoy_hokkeynoy_ligi
961	2012-05-08	«Наследники Победы». Герой России Радик Бариев	file:///news/2012-05-07/91696-nasledniki_pobedy_geroy_rossii_radik_bariev
962	2012-05-07	«Наследники Победы». Герой России Андрей Гущин	file:///news/2012-05-06/91642-nasledniki_pobedy_geroy_rossii_andrey_guschin
963	2012-05-06	«Наследники Победы». Герой России Александр Моисеев	file:///news/2012-05-03/91371-nasledniki_pobedy_geroy_rossii_aleksandr_moiseev
964	2012-05-03	Фестиваль по хоккею среди любительских команд проходит в Москве	file:///news/2012-05-02/91249-festival_po_hokkeyu_sredi_lyubitelskih_komand_prohodit_v_moskve
965	2012-05-02	Хоккеисты-любители со всей страны разыгрывают Кубок чемпионов	file:///news/2012-05-02/91219-hokkeisty_lyubiteli_so_vsey_strany_razygryvayut_kubok_chempionov
966	2012-05-02	Всероссийский фестиваль по хоккею среди любительских команд стартовал в Москве	file:///news/2012-05-02/91184-vserossiyskiy_festival_po_hokkeyu_sredi_lyubitelskih_komand_startoval_v_moskve
967	2012-05-02	Дик Адвокат получил предложение вернуться на родину и возглавить голландский клуб ПСВ	file:///news/2012-04-24/100589-dik_advokat_poluchil_predlozhenie_vernutsya_na_rodinu_i_vozglavit_gollandskiy_klub_psv
968	2012-04-24	Большая часть российских туристов, застрявших в Израиле по вине туроператора, вернулась на родину	file:///news/2012-04-23/100471-bolshaya_chast_rossiyskih_turistov_zastryavshih_v_izraile_po_vine_turoperatora_vernulas_na_rodinu
969	2012-04-23	В Норвегии суд вынес решение о лишении родительских прав россиянки Ирины Бергсет	file:///news/2012-04-17/99970-v_norvegii_sud_vynes_reshenie_o_lishenii_roditelskih_prav_rossiyanki_iriny_bergset
970	2012-04-17	Испанский король пострадал, когда охотился на слонов	file:///news/2012-04-17/99925-ispanskiy_korol_postradal_kogda_ohotilsya_na_slonov
971	2012-04-17	Громким скандалом и столом хирурга закончилась для короля Испании охота на слонов	file:///news/2012-04-17/99894-gromkim_skandalom_i_stolom_hirurga_zakonchilas_dlya_korolya_ispanii_ohota_na_slonov
972	2012-04-17	Дезертиром армянские власти объявили мужчину, который покинул страну двухлетним ребёнком	file:///news/2012-04-16/99807-dezertirom_armyanskie_vlasti_ob_yavili_muzhchinu_kotoryy_pokinul_stranu_dvuhletnim_rebyonkom
973	2012-04-16	Глава МИД Сергей Лавров заявил, что Москва будет добиваться возвращения на Родину Бута и Ярошенко	file:///news/2012-04-12/99533-glava_mid_sergey_lavrov_zayavil_chto_moskva_budet_dobivatsya_vozvrascheniya_na_rodinu_buta_i_yaroshenko
974	2012-04-12	Россия полностью поддерживает план Кофи Аннана по прекращению огня в Сирии	file:///news/2012-04-12/99510-rossiya_polnostyu_podderzhivaet_plan_kofi_annana_po_prekrascheniyu_ognya_v_sirii
975	2012-04-12	Москва будет добиваться возвращения на Родину арестованных в США граждан России Бута и Ярошенко	file:///news/2012-04-12/99499-moskva_budet_dobivatsya_vozvrascheniya_na_rodinu_arestovannyh_v_ssha_grazhdan_rossii_buta_i_yaroshenko
976	2012-04-12	Москва будет добиваться возвращения на Родину арестованных в США граждан	file:///news/2012-04-12/99476-moskva_budet_dobivatsya_vozvrascheniya_na_rodinu_arestovannyh_v_ssha_grazhdan
977	2012-04-12	Съездившие в Тоскану волгоградские чиновники вернулись на родину	file:///news/2012-04-10/99272-s_ezdivshie_v_toskanu_volgogradskie_chinovniki_vernulis_na_rodinu
978	2012-04-10	Волгоградские чиновники вернулись из Тосканы на малую родину	file:///news/2012-04-10/99249-volgogradskie_chinovniki_vernulis_iz_toskany_na_maluyu_rodinu
979	2012-04-10	Пианист и дирижер с Апеннинского полуострова Фабио Мастранджело получил российский паспорт	file:///news/2012-03-29/98269-pianist_i_dirizher_s_apenninskogo_poluostrova_fabio_mastrandzhelo_poluchil_rossiyskiy_pasport
980	2012-03-29	Итальянец Фабио Мастранджело нашел в России вторую родину	file:///news/2012-03-29/98235-italyanets_fabio_mastrandzhelo_nashel_v_rossii_vtoruyu_rodinu
981	2012-03-29	Трем россиянкам грозит в Арабских Эмиратах ответственность за пачку сувенирных долларов	file:///news/2012-03-27/98059-trem_rossiyankam_grozit_v_arabskih_emiratah_otvetstvennost_za_pachku_suvenirnyh_dollarov
982	2012-03-27	Д.Стросс-Кану вновь предъявили официальные обвинения	file:///news/2012-03-27/97947-d_stross_kanu_vnov_pred_yavili_ofitsialnye_obvineniya
983	2012-03-27	Италия отдает последние почести великому Тонино Гуэрре	file:///news/2012-03-25/97801-italiya_otdaet_poslednie_pochesti_velikomu_tonino_guerre
984	2012-03-25	В Нигерии из пиратского плена освобождены двое россиян	file:///news/2012-03-24/97784-v_nigerii_iz_piratskogo_plena_osvobozhdeny_dvoe_rossiyan
985	2012-03-24	Несколько россиянок борются в судах за своих детей, рожденных от мужей-иностранцев	file:///news/2012-03-22/97607-neskolko_rossiyanok_boryutsya_v_sudah_za_svoih_detey_rozhdennyh_ot_muzhey_inostrantsev
986	2012-03-22	Еще несколько россиянок отстаивают в судах права на своих детей, рожденных от мужей-иностранцев	file:///news/2012-03-22/97570-esche_neskolko_rossiyanok_otstaivayut_v_sudah_prava_na_svoih_detey_rozhdennyh_ot_muzhey_inostrantsev
987	2012-03-22	Нескольким россиянкам предстоит отстаивать свои права на детей в суде	file:///news/2012-03-22/97557-neskolkim_rossiyankam_predstoit_otstaivat_svoi_prava_na_detey_v_sude
988	2012-03-22	Дмитрий Медведев призвал государственные компании активнее финансировать НИОКР	file:///news/2012-03-21/97515-dmitriy_medvedev_prizval_gosudarstvennye_kompanii_aktivnee_finansirovat_niokr
989	2012-03-21	Русским ученым удалось пробурить скважину в подземное озеро в Антарктиде	file:///news/2012-02-26/105478-russkim_uchenym_udalos_proburit_skvazhinu_v_podzemnoe_ozero_v_antarktide
990	2012-02-26	Главным событием недели снова стали многотысячные митинги в поддержку кандидатов в Президенты	file:///news/2012-02-26/105474-glavnym_sobytiem_nedeli_snova_stali_mnogotysyachnye_mitingi_v_podderzhku_kandidatov_v_prezidenty
991	2012-02-26	Смерть, возрождение, исполнение мечты — история незрячего майора, который сделал невозможное	file:///news/2012-02-23/105245-smert_vozrozhdenie_ispolnenie_mechty_istoriya_nezryachego_mayora_kotoryy_sdelal_nevozmozhnoe
992	2012-02-23	Репортаж о человеке, посвятившем защите Родины всю жизнь	file:///news/2012-02-22/105165-reportazh_o_cheloveke_posvyativshem_zaschite_rodiny_vsyu_zhizn
993	2012-02-22	Бывший глава МВФ временно помещен под стражу по обвинению в причастности к сутенерству	file:///news/2012-02-21/105153-byvshiy_glava_mvf_vremenno_pomeschen_pod_strazhu_po_obvineniyu_v_prichastnosti_k_sutenerstvu
